episode,timestep,reward,steps
924,20154,0.93,8
925,20162,0.93,8
926,20170,0.93,8
927,20178,0.93,8
928,20186,0.93,8
929,20194,0.93,8
930,20202,0.93,8
931,20206,-1.03,4
932,20212,-1.05,6
933,20220,0.93,8
934,20228,0.93,8
935,20240,0.89,12
936,20250,0.91,10
937,20258,0.93,8
938,20266,0.93,8
939,20275,0.92,9
940,20283,0.93,8
941,20291,0.93,8
942,20297,-1.05,6
943,20307,0.91,10
944,20315,0.93,8
945,20325,0.91,10
946,20334,0.92,9
947,20342,0.93,8
948,20350,0.93,8
949,20360,0.91,10
950,20368,0.93,8
951,20376,0.93,8
952,20394,0.83,18
953,20402,0.93,8
954,20411,0.92,9
955,20419,0.93,8
956,20427,0.93,8
957,20435,0.93,8
958,20443,0.93,8
959,20454,0.9,11
960,20462,0.93,8
961,20470,0.93,8
962,20478,0.93,8
963,20486,0.93,8
964,20494,0.93,8
965,20503,0.92,9
966,20511,0.93,8
967,20527,0.85,16
968,20560,0.68,33
969,20568,0.93,8
970,20580,0.89,12
971,20588,0.93,8
972,20596,0.93,8
973,20612,0.85,16
974,20624,0.89,12
975,20632,0.93,8
976,20649,0.84,17
977,20661,0.89,12
978,20680,0.82,19
979,20688,0.93,8
980,20696,0.93,8
981,20704,0.93,8
982,20712,0.93,8
983,20720,0.93,8
984,20728,0.93,8
985,20736,0.93,8
986,20744,0.93,8
987,20752,0.93,8
988,20760,0.93,8
989,20770,0.91,10
990,20778,0.93,8
991,20786,0.93,8
992,20794,0.93,8
993,20802,0.93,8
994,20810,0.93,8
995,20818,0.93,8
996,20828,0.91,10
997,20838,0.91,10
998,20846,0.93,8
999,20854,0.93,8
1000,20880,-1.25,26
1001,20888,0.93,8
1002,20897,0.92,9
1003,20905,0.93,8
1004,20918,0.88,13
1005,20926,0.93,8
1006,20934,0.93,8
1007,20942,0.93,8
1008,20950,0.93,8
1009,20958,0.93,8
1010,20966,0.93,8
1011,20974,0.93,8
1012,20982,0.93,8
1013,20990,0.93,8
1014,20998,0.93,8
1015,21006,0.93,8
1016,21016,0.91,10
1017,21024,0.93,8
1018,21032,0.93,8
1019,21037,-1.04,5
1020,21045,0.93,8
1021,21053,0.93,8
1022,21061,0.93,8
1023,21069,0.93,8
1024,21077,0.93,8
1025,21086,0.92,9
1026,21094,0.93,8
1027,21102,0.93,8
1028,21110,0.93,8
1029,21118,0.93,8
1030,21126,0.93,8
1031,21134,0.93,8
1032,21142,0.93,8
1033,21150,0.93,8
1034,21158,0.93,8
1035,21166,0.93,8
1036,21175,0.92,9
1037,21183,0.93,8
1038,21193,0.91,10
1039,21201,0.93,8
1040,21209,0.93,8
1041,21217,0.93,8
1042,21225,0.93,8
1043,21233,0.93,8
1044,21241,0.93,8
1045,21249,0.93,8
1046,21258,0.92,9
1047,21266,0.93,8
1048,21274,0.93,8
1049,21289,0.86,15
1050,21301,0.89,12
